dataset,architecture,implementation,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
diabetes,basic,tensorflow,4,0.5615659512767299,0.5594595074653625,0.6781,0.2734491315136476,0.7910983488872936,0.4064171122994652,0.7865121471187704
diabetes,basic,tensorflow,5,0.5539597094697484,0.5581377148628235,0.7372,0.303030303030303,0.6819813352476669,0.4196113074204947,0.7896098861416913
diabetes,basic,tensorflow,6,0.5492362272818186,0.551285445690155,0.7164,0.2945029906009684,0.7422828427853554,0.4216965742251223,0.7920091002573824
diabetes,basic,tensorflow,7,0.5457526673041989,0.5502866506576538,0.7318,0.3051103719383127,0.7243359655419956,0.4293617021276595,0.7946324261851008
diabetes,basic,tensorflow,8,0.5425002073769487,0.5478076338768005,0.6673,0.2709616295594505,0.8212491026561378,0.407479964381122,0.7969859338352202
diabetes,basic,tensorflow,9,0.539872557325182,0.5417398810386658,0.7064,0.2917678812415654,0.7760229720028715,0.4240878775990584,0.8000570663571972
diabetes,basic,tensorflow,10,0.536624507688612,0.5395304560661316,0.7252,0.3036800927267459,0.7523330940416367,0.4327002477291494,0.8029736893399928
diabetes,basic,tensorflow,11,0.5338574214774593,0.5367574095726013,0.6987,0.287847040335254,0.7889447236180904,0.4218000383803492,0.8044050607066102
diabetes,basic,tensorflow,12,0.5323140098076924,0.53526371717453,0.699,0.2881844380403458,0.7896625987078248,0.4222648752399232,0.8058237126644692
diabetes,basic,tensorflow,13,0.5300887724690488,0.5348193645477295,0.6989,0.2874408828166053,0.7853553481694185,0.4208501634929794,0.8062274809123376
diabetes,improved,scratch,1,0.6021028626628853,0.5458565354347229,0.738,0.31023816888339006,0.7200287150035893,0.43363597060095116,0.7995913274817381
diabetes,improved,scratch,2,0.5324189140467959,0.5334128737449646,0.7293,0.30699177438307873,0.7501794687724336,0.4356889722743381,0.8076308278767069
diabetes,improved,scratch,3,0.524631460783832,0.5275859236717224,0.7065,0.2949468085106383,0.7961234745154343,0.4304288763826897,0.8111455966949888
diabetes,improved,scratch,4,0.5207218051578063,0.5256019830703735,0.7041,0.2935126582278481,0.7989949748743719,0.42931533269045324,0.8126325998363075
diabetes,improved,scratch,5,0.5187829880419662,0.5300599336624146,0.7578,0.3287853577371048,0.7092605886575736,0.4492951341518872,0.8151281061317476
diabetes,improved,scratch,6,0.51631963278313,0.52285236120224,0.7244,0.30534133104827194,0.7674084709260589,0.43686146301593787,0.8150806064380559
diabetes,improved,scratch,7,0.5145337889363483,0.5353235602378845,0.7743,0.34175824175824177,0.6697774587221823,0.452583070579675,0.8165927981790144
diabetes,improved,scratch,8,0.5136465374221144,0.5203294157981873,0.687,0.28368617683686176,0.8176597272074659,0.42122781065088755,0.8172771023702222
diabetes,improved,scratch,9,0.5130432629360975,0.5236144661903381,0.7473,0.3206831119544592,0.7279253409906676,0.445225027442371,0.817806062962658
diabetes,improved,scratch,10,0.5109380760667738,0.5304220914840698,0.7705,0.3386981402002861,0.6798277099784638,0.45213654810217235,0.818497998799121
diabetes,improved,pytorch,1,0.6021028770365142,0.5458565354347229,0.738,0.31023816888339006,0.7200287150035893,0.43363597060095116,0.7995912857787586
diabetes,improved,pytorch,2,0.5324189288514445,0.5334128737449646,0.7293,0.30699177438307873,0.7501794687724336,0.4356889722743381,0.8076307861737275
diabetes,improved,pytorch,3,0.5246373854112105,0.5275487899780273,0.7062,0.29460249933528315,0.7954055994256999,0.4299573147070237,0.8111834630004077
diabetes,improved,pytorch,4,0.5207343806936668,0.5252193212509155,0.7032,0.2925994205952067,0.797559224694903,0.428131021194605,0.8130351586977695
diabetes,improved,pytorch,5,0.5187146093892718,0.5300900340080261,0.7583,0.3289913159652639,0.7071069633883704,0.44905402325051286,0.8152230638161512
diabetes,improved,pytorch,6,0.5163071361081415,0.5227438807487488,0.7268,0.30778064886592016,0.7695620961952621,0.43970467596390483,0.8152923741681403
diabetes,improved,pytorch,7,0.514470675809138,0.5342985987663269,0.7745,0.3427007299270073,0.6740847092605886,0.45439148318412775,0.8167703694658791
diabetes,improved,pytorch,8,0.5136356286590812,0.5207613110542297,0.6857,0.28287841191067,0.8183776022972002,0.42043149548220543,0.8172621727035482
diabetes,improved,pytorch,9,0.5133938406995674,0.5236849784851074,0.7487,0.32154238368387505,0.7243359655419956,0.44537629662326195,0.8178857990595311
diabetes,improved,pytorch,10,0.5114680439301115,0.5304540395736694,0.7708,0.3385996409335727,0.6769562096195262,0.45141215892771663,0.8187238621362886
diabetes,improved,tensorflow,1,0.6021271354988833,0.5463273525238037,0.7392,0.31127679403541475,0.719310839913855,0.43451864700780574,0.7994784375161338
diabetes,improved,tensorflow,2,0.5324527323281553,0.5338463187217712,0.7312,0.30860183269287617,0.7494615936826992,0.4371859296482412,0.8073140520441509
diabetes,improved,tensorflow,3,0.5243274976495246,0.5274364948272705,0.709,0.2959375840731773,0.7896625987078248,0.43052837573385516,0.8111155705497228
diabetes,improved,tensorflow,4,0.5206262189511682,0.5261229872703552,0.7046,0.29411764705882354,0.8004307250538406,0.43016975308641975,0.8122645710419014
diabetes,improved,tensorflow,5,0.5184841876208929,0.5298009514808655,0.7562,0.3270440251572327,0.7092605886575736,0.44766651563207976,0.814803448436059
diabetes,improved,tensorflow,6,0.5161881461771786,0.5229182839393616,0.7282,0.3076923076923077,0.7609475951184493,0.4381976023150062,0.8152491698813409
diabetes,improved,tensorflow,7,0.5141432105537684,0.5348691344261169,0.7745,0.34224011713030744,0.6712132089016511,0.4533333333333333,0.8167976849174753
diabetes,improved,tensorflow,8,0.5133812579081152,0.5206379294395447,0.6828,0.2811808118081181,0.8205312275664034,0.4188347379992671,0.8172984542957448
diabetes,improved,tensorflow,9,0.5131862919926017,0.5222881436347961,0.7428,0.31799938252547083,0.7394113424264178,0.44473229706390327,0.8180043189273727
diabetes,improved,tensorflow,10,0.5109852146594912,0.5317919254302979,0.775,0.3430977663859392,0.6726489590811199,0.45441319107662465,0.8184750621603761
diabetes,improved,tensorflow,11,0.510596879689962,0.5227858424186707,0.7479,0.3227529855436832,0.7372577171572147,0.4489617486338798,0.8186353684137129
diabetes,improved,tensorflow,12,0.5086452397710561,0.5200550556182861,0.7161,0.29927817878956137,0.7738693467336684,0.43163163163163165,0.817958445649883
diabetes,improved,tensorflow,13,0.507449125586888,0.5173450112342834,0.7121,0.29787812840043526,0.7860732232591529,0.43203787729335175,0.8187212765515572
