dataset,architecture,implementation,train_samples,validation_samples,test_samples,parameter_count,best_epoch,epochs_ran,training_seconds,learning_rate,batch_size,patience,batch_seed,initialization_sha256,checkpoint_file,native_model_file,test_scope,validation_loss,validation_mae,validation_rmse,validation_r2,test_loss,test_mae,test_rmse,test_r2
house,improved,pytorch,280000,60000,60000,3249,10,13,309.7356188999838,0.001,256,3,4202,af4f8ed03958ed0973c672ca5be4b595af33088e27184e1d9e5fdd3c17fa954e,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\full_scale\house\improved_pytorch.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\full_scale\house\improved_pytorch.pt,complete frozen master test (includes prior parity subset; no post-test tuning),235.8504180908203,251286.77041095006,1240240.971374555,0.27104394885194716,0.46162039041519165,252719.4394536387,1290995.7617715667,0.17365963431095321
house,improved,tensorflow,280000,60000,60000,3249,10,13,220.34995539998636,0.001,256,3,4202,af4f8ed03958ed0973c672ca5be4b595af33088e27184e1d9e5fdd3c17fa954e,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\full_scale\house\improved_tensorflow.npz,E:\WINDOW\Project\intelligent-system-assignment-01\models\assignment04\full_scale\house\improved_tensorflow.weights.h5,complete frozen master test (includes prior parity subset; no post-test tuning),1465.2930908203125,254833.80911205165,1320887.4843146508,0.17316120110445876,0.484164834022522,255105.6167532325,1291741.2386712076,0.17270502930022757
