dataset,architecture,implementation,epoch,train_loss,val_loss,val_mae,val_rmse,val_r2
house,improved,pytorch,1,0.6381542823655265,16.438207626342773,36508394808.633026,8942602116177.764,-37898062988690.58
house,improved,pytorch,2,0.568447045482908,0.9752944111824036,8836229.01345104,2095447936.851235,-2080859.4071304367
house,improved,pytorch,3,0.5589893136160714,177.27703857421875,3675137.1460345387,834548436.4725515,-330058.5420385783
house,improved,pytorch,4,0.5583168780735561,57.37477111816406,558079.5377198824,72032884.64182012,-2457.956302201982
house,improved,pytorch,5,0.5433353919778552,138.76806640625,287336.0477968656,6373387.6007880345,-18.249961237794317
house,improved,pytorch,6,0.5087386011736733,1.5724676847457886,258491.25401440132,1384523.432048224,0.09157345201123301
house,improved,pytorch,7,0.48413807550157817,946.00341796875,259493.86506136577,1318816.2086932661,0.17575228974722512
house,improved,pytorch,8,0.48747303199768066,14.44277572631836,inf,inf,-inf
house,improved,pytorch,9,0.5704068415982383,587.01806640625,inf,inf,-inf
house,improved,pytorch,10,0.4609285236358643,235.8504180908203,251286.77041095006,1240240.971374555,0.27104394885194716
house,improved,pytorch,11,0.4551603120803833,11.320662498474121,inf,inf,-inf
house,improved,pytorch,12,0.45903943762779237,1.192333698272705,327173.4092599491,16169984.623239815,-122.91058602111221
house,improved,pytorch,13,0.4659255374295371,1.211230754852295,3.8984333235681494e+106,9.549172439004317e+108,-4.321362201682402e+205
house,improved,tensorflow,1,0.6412791579246521,73.5197525024414,999882413.7091584,244832147142.0288,-28407046335.611687
house,improved,tensorflow,2,0.5757816654273442,56.7026481628418,13975525.019857645,3357585453.249353,-5342484.428949739
house,improved,tensorflow,3,0.5627517583983285,5.703007698059082,3.4018075087725745e+279,inf,-inf
house,improved,tensorflow,4,0.5547374849319457,567.9354858398438,2305630270.9172554,564695132853.9966,-151118378921.76694
house,improved,tensorflow,5,0.565907554599217,408.1075134277344,1250257.0643520674,240513436.9145027,-27412.714523289982
house,improved,tensorflow,6,0.5343861922809056,242.43606567382812,262726.9032933483,1339490.3718792787,0.1497074191861485
house,improved,tensorflow,7,0.5222585749081203,1880.944580078125,269303.6772652514,1950721.4763008081,-0.8033487690920562
house,improved,tensorflow,8,0.49968935290745325,1200.686767578125,257528.15417046598,1321871.463113884,0.17192885558562343
house,improved,tensorflow,9,0.5126601492745536,119.45458221435547,inf,inf,-inf
house,improved,tensorflow,10,0.4758068229675293,1465.2930908203125,254833.80911205165,1320887.4843146508,0.17316120110445876
house,improved,tensorflow,11,0.511915937096732,283.0072937011719,379170.0527016557,30879258.286390558,-450.87978904809097
house,improved,tensorflow,12,0.4796688488551549,138.17623901367188,14166851.792347366,3406670222.0737534,-5499830.5212753955
house,improved,tensorflow,13,0.4678967822551727,14.662327766418457,inf,inf,-inf
