epoch,train_loss,val_loss,train_rmse,val_rmse,experiment
10,0.5579212573051453,0.5536060084342956,1212764.469292574,892163.960523459,Deeper MLP / Adam 1e-3
11,0.5569841537339347,0.5535220713615417,1261086.7699223193,904344.5646590622,Deeper MLP / Adam 1e-3
12,0.5563772427967616,0.5557879562060039,1243846.8078572233,890562.4336444233,Deeper MLP / Adam 1e-3
13,0.553882425226484,0.5511299116452535,1289333.1093202697,896908.752574507,Deeper MLP / Adam 1e-3
14,0.5527966809409005,0.5504233315467835,1203717.752343066,897634.4345913624,Deeper MLP / Adam 1e-3
15,0.5516113357952663,0.5497355901400248,1159202.5140711498,892839.6580380129,Deeper MLP / Adam 1e-3
16,0.5515946792057582,0.5494055023193359,1200195.5544875239,898698.2312359764,Deeper MLP / Adam 1e-3
17,0.552004223210471,0.550406345208486,1239907.8348034788,898211.7793681276,Deeper MLP / Adam 1e-3
18,0.5531023787089756,0.5507517963727315,1197276.5975711532,923485.652204633,Deeper MLP / Adam 1e-3
19,0.551738273865836,0.5493895211855571,1285990.825956799,894511.3875907675,Deeper MLP / Adam 1e-3
20,0.5497071012905665,0.5507370378176372,1191016.4376229085,884297.1512752653,Deeper MLP / Adam 1e-3
21,0.5495226250784738,0.550298450756073,1187470.278850033,885460.6914137665,Deeper MLP / Adam 1e-3
22,0.5489541870253427,0.5487079609235128,1133212.2165150626,889655.1467740743,Deeper MLP / Adam 1e-3
23,0.5489522003037589,0.5491271596908569,1189923.9966669711,901992.5899929794,Deeper MLP / Adam 1e-3
24,0.5489758948666709,0.5504700463930766,1179979.9889291595,893654.1984825556,Deeper MLP / Adam 1e-3
25,0.5482228419167655,0.5477795783360799,1160136.181923367,891051.5976035058,Deeper MLP / Adam 1e-3
26,0.5480694911820548,0.5483717890103658,1236544.1038527244,893316.7536759231,Deeper MLP / Adam 1e-3
27,0.5490085293497358,0.5484218548456827,1204592.5618204137,922163.1132199697,Deeper MLP / Adam 1e-3
28,0.5482939531190055,0.555378191947937,1332769.7788517764,886501.3741028543,Deeper MLP / Adam 1e-3
29,0.5471544509819576,0.5492208804766338,1172448.8263317237,885327.899223437,Deeper MLP / Adam 1e-3
30,0.5473928673539843,0.5474410274823507,1184095.200795314,895947.9321317945,Deeper MLP / Adam 1e-3
1,0.7342983550207955,0.6224054518699647,2370090.5804479606,1235920.3574042637,Deeper MLP / Adam 3e-4
2,0.6165329244886126,0.5949906613349915,1672055.9302691855,1132129.6168335944,Deeper MLP / Adam 3e-4
3,0.5949767671721322,0.5820535622596741,1525388.2065828412,983385.3255008803,Deeper MLP / Adam 3e-4
4,0.5819067200524466,0.5737999087015788,1469529.935160192,946261.7412189724,Deeper MLP / Adam 3e-4
5,0.5735433611665454,0.5681400074958801,1308622.7073538166,929372.6642834349,Deeper MLP / Adam 3e-4
6,0.5682769983291626,0.5648990548769633,1294596.1622685422,914447.5572822334,Deeper MLP / Adam 3e-4
7,0.5647704310144697,0.5626659842809041,1287381.6082604225,917910.0434617433,Deeper MLP / Adam 3e-4
8,0.5624058243342809,0.5612152222315471,1218304.7782275637,911163.848543481,Deeper MLP / Adam 3e-4
9,0.5606979645797184,0.5593331439654032,1212493.769100576,905776.9211668401,Deeper MLP / Adam 3e-4
10,0.5612888487815857,0.558687025642395,1194559.1079804676,901046.0168445169,Deeper MLP / Adam 3e-4
11,0.5602217935425895,0.5581517881711324,1264625.8135540846,909858.251312884,Deeper MLP / Adam 3e-4
12,0.5587299449920654,0.5578557366371155,1196199.779412276,895213.4632761807,Deeper MLP / Adam 3e-4
13,0.5579012078421457,0.5575477879842122,1260703.0191332016,905502.6210504469,Deeper MLP / Adam 3e-4
14,0.5574906777926854,0.5561967128753662,1196379.8787648287,901374.2656415547,Deeper MLP / Adam 3e-4
15,0.5565660228048052,0.5567811825752258,1230238.6491543574,899994.7565904538,Deeper MLP / Adam 3e-4
16,0.5561479620933533,0.5551304533322652,1182786.0569122504,895974.9390035339,Deeper MLP / Adam 3e-4
17,0.5561244236809867,0.5556450172106425,1255057.5734085836,897545.7263586273,Deeper MLP / Adam 3e-4
18,0.555934889289311,0.5543143539746602,1194859.9280686462,895263.8317700888,Deeper MLP / Adam 3e-4
19,0.5552229291234697,0.5547968219439189,1317889.1926775116,899903.2790666884,Deeper MLP / Adam 3e-4
20,0.5543941057205201,0.5544395511309306,1181892.9719812742,890589.460805815,Deeper MLP / Adam 3e-4
21,0.5540372092996325,0.5536362018903096,1259575.0773010096,894673.9083939071,Deeper MLP / Adam 3e-4
22,0.5534742010252817,0.5532948494275411,1172005.4779264564,894143.1460094871,Deeper MLP / Adam 3e-4
23,0.5536628873756954,0.5526702349026998,1254851.8126307672,896141.8060184604,Deeper MLP / Adam 3e-4
24,0.5535657071386065,0.5535571426709494,1191123.808223005,894034.909580972,Deeper MLP / Adam 3e-4
25,0.5531217370441982,0.5543383935928344,1272066.4982966539,914915.4220285026,Deeper MLP / Adam 3e-4
26,0.5528748981067112,0.552640872891744,1254584.1379265352,894099.7329355669,Deeper MLP / Adam 3e-4
27,0.5523672919000898,0.5522771337191263,1252702.28887753,888910.1179587449,Deeper MLP / Adam 3e-4
28,0.5520911214283535,0.5521886937141418,1241026.1079973045,890236.3466792824,Deeper MLP / Adam 3e-4
29,0.5512958221639905,0.551061463133494,1250713.038252255,886177.922977007,Deeper MLP / Adam 3e-4
30,0.5513796548230308,0.5508974087715149,1180383.0200389836,896858.2473525706,Deeper MLP / Adam 3e-4
