experiment,architecture,input_dim,output_dim,hidden_dims,optimizer,learning_rate,batch_size,max_epochs,early_stopping_patience,parameter_count,best_epoch,training_seconds,accuracy,precision,recall,f1,roc_auc,loss
Baseline MLP,21→64→2,21,2,[64],Adam,0.001,512,25,5,1538,15,117.70236130000558,0.7214863870493009,0.306007326007326,0.7878159185213127,0.4407978049810046,0.8291587878403944,0.5042521219317199
Deeper MLP / Adam 1e-3,21→64→32→2,21,2,"[64, 32]",Adam,0.001,512,25,5,3554,15,133.96896790000028,0.728949858088931,0.311352002408913,0.7800829875518672,0.4450661788442914,0.8287665204834126,0.504871176148293
Deeper MLP / Adam 3e-4,21→64→32→2,21,2,"[64, 32]",Adam,0.0003,512,25,5,3554,23,180.52677889997722,0.7196730789446021,0.30480972131266826,0.7900792153904187,0.43990548700446314,0.8287145798359254,0.504825668236967
