experiment,architecture,input_dim,output_dim,hidden_dims,optimizer,learning_rate,batch_size,max_epochs,early_stopping_patience,parameter_count,best_epoch,training_seconds,loss,mae,mse,rmse,r2,raw_mae,raw_mse,raw_rmse,raw_r2,raw_metrics_valid,n_below,n_above,n_nonfinite,n_clipped,clip_rate,clip_lower_train_scale,clip_upper_train_scale
Baseline MLP,61→64→1,61,1,[64],Adam,0.001,512,30,6,4033,26,311.46772430001874,0.5519066867510478,259329.59370082608,795684221365.2208,892011.3347739595,0.29956196417164105,259329.59370082608,795684221365.2208,892011.3347739595,0.29956196417164105,True,0,0,0,0,0.0,0.6931471805599453,19.174452551034626
Deeper MLP / Adam 1e-3,61→64→32→1,61,1,"[64, 32]",Adam,0.001,512,30,6,6081,30,340.9865487999923,0.5474410274823507,258204.01458592087,802722697091.2386,895947.9321317945,0.29336601861889566,258204.01458592087,802722697091.2386,895947.9321317945,0.29336601861889566,True,0,0,0,0,0.0,0.6931471805599453,19.174452551034626
Deeper MLP / Adam 3e-4,61→64→32→1,61,1,"[64, 32]",Adam,0.0003,512,30,6,6081,30,286.6482928000041,0.5508974087715149,259084.9407445899,804354715844.3247,896858.2473525706,0.2919293582212755,259084.9407445899,804354715844.3247,896858.2473525706,0.2919293582212755,True,0,0,0,0,0.0,0.6931471805599453,19.174452551034626
