epoch,train_loss,val_loss,train_f1,val_f1,val_accuracy,experiment
1,0.20707585471630097,0.18130307333469392,0.9194497589059369,0.9278747329813389,0.92842,Baseline MLP
2,0.1733507101559639,0.17765876934051514,0.9319120942890303,0.9297816435625623,0.93025,Baseline MLP
3,0.1622484012055397,0.17751134486675263,0.9363003371974451,0.9310358613520969,0.931,Baseline MLP
4,0.1504677629303932,0.17801458806991577,0.941921089919074,0.9319411523498055,0.93195,Baseline MLP
5,0.13523510355472565,0.18306372608184815,0.9497901620571494,0.9316601968041889,0.93187,Baseline MLP
6,0.11673856652498245,0.19405841974973678,0.9590198753604502,0.9315466063529553,0.9316,Baseline MLP
7,0.09574157401323319,0.2124080918955803,0.9686007141367351,0.9298921803201554,0.92997,Baseline MLP
1,0.20582192180156708,0.1819419041275978,0.9196354205630782,0.9287642908047016,0.92903,Deeper MLP / Adam 1e-3
2,0.1729278957605362,0.17497235620975493,0.9323331985746452,0.9315533883570815,0.9315,Deeper MLP / Adam 1e-3
3,0.1536695877289772,0.17737562137126922,0.9400838728166725,0.9310379261448742,0.93094,Deeper MLP / Adam 1e-3
4,0.13317837493181228,0.18984169112205507,0.9490631922802538,0.9289879795294957,0.9284,Deeper MLP / Adam 1e-3
5,0.10888578525602817,0.20641786814212798,0.9594900920736589,0.92686360071588,0.92726,Deeper MLP / Adam 1e-3
6,0.0792705086094141,0.2564916626405716,0.97193031094327,0.9244511278195489,0.92464,Deeper MLP / Adam 1e-3
1,0.22191078732967376,0.18075734823703765,0.9156424546373155,0.9298191173084815,0.92989,Deeper MLP / Adam 3e-4
2,0.1760496859884262,0.1800730704832077,0.9323222739335936,0.9297411938894947,0.92977,Deeper MLP / Adam 3e-4
3,0.17265774857997895,0.18004928340673446,0.9336651910017828,0.9294188740054387,0.92992,Deeper MLP / Adam 3e-4
4,0.16938840425014495,0.17842715986490248,0.9344838254321547,0.9302631972931701,0.93013,Deeper MLP / Adam 3e-4
5,0.16437606053113937,0.1764260273003578,0.9354805173983785,0.9295737731360135,0.93014,Deeper MLP / Adam 3e-4
6,0.15917957675695418,0.17821083868026732,0.9366391529515471,0.9297076246128557,0.92987,Deeper MLP / Adam 3e-4
7,0.15452434540510177,0.18021083693027495,0.9380740718493936,0.929407875624831,0.92953,Deeper MLP / Adam 3e-4
8,0.15003547622680663,0.18377824299097062,0.9397474332469098,0.9290413016270338,0.92913,Deeper MLP / Adam 3e-4
9,0.14494888600111008,0.18656470794677735,0.9418023005167103,0.9290338096478746,0.92918,Deeper MLP / Adam 3e-4
