epoch,train_loss,train_f1,val_loss,val_f1,val_accuracy,experiment
1,0.5272603177989921,0.428621181651706,0.5117614741745424,0.4393125099771191,0.7230894565331651,Baseline MLP
2,0.5058522277433238,0.44112765766573964,0.5095716924568613,0.4308849335673101,0.7016976768632398,Baseline MLP
3,0.5039480484009391,0.4401786012537719,0.5081072978626023,0.4356768314412259,0.7086881110059918,Baseline MLP
4,0.5028447384994761,0.441580468427454,0.5079794326415513,0.43253868252608235,0.7041154210028382,Baseline MLP
5,0.5020279693470326,0.4419695717253859,0.5085351376218724,0.44641871758084095,0.7363607694733523,Baseline MLP
6,0.5014445886379073,0.44195333065631554,0.5064459733064275,0.44244604316546765,0.7230106170503522,Baseline MLP
7,0.500785931224527,0.4422462878195825,0.5057557062384433,0.43984489624816603,0.7190686429097025,Baseline MLP
8,0.5006899437926055,0.44296758746461695,0.5053918052017908,0.4381720430107527,0.7143908335961316,Baseline MLP
9,0.5003746619601881,0.4432408186150827,0.5059651035710137,0.4352959136939596,0.7083727530747398,Baseline MLP
10,0.4998063511470795,0.4433904220688421,0.505103460743414,0.4387110144026526,0.7152843477346789,Baseline MLP
11,0.49928594030426093,0.4432556105110864,0.5056260294823018,0.43351731058705467,0.7033007463471039,Baseline MLP
12,0.499067161802011,0.44378936985810036,0.5055906095114289,0.44669718770438194,0.7332071901608326,Baseline MLP
13,0.49888255737459103,0.44453425841725325,0.5049784777668965,0.43450900786602387,0.7071638810049407,Baseline MLP
14,0.4985250988516576,0.44396619364673706,0.5046490725377726,0.4381129348611541,0.7139177966992537,Baseline MLP
15,0.4984876771077823,0.44462160341342916,0.5042521219317199,0.4407978049810046,0.7214863870493009,Baseline MLP
16,0.49842819273834343,0.4447837950122952,0.5048792587586737,0.4444325824703747,0.7264795542941238,Baseline MLP
17,0.4982328094055659,0.4446515597278056,0.5045628329938886,0.43953428201811123,0.7153631872174918,Baseline MLP
18,0.4980691506657809,0.44569680198877376,0.5044885808256389,0.4377589063794532,0.7146536318721749,Baseline MLP
19,0.4977733598999458,0.44426998048495997,0.5043096688346859,0.43778280542986425,0.7126563649742458,Baseline MLP
20,0.49771565880416485,0.44499393067481907,0.5054516682649378,0.43373854125149464,0.7013034794491748,Baseline MLP
1,0.5227822301736548,0.42706672307375226,0.5110154270023048,0.43534816497186807,0.7125249658362242,Deeper MLP / Adam 1e-3
2,0.5054461038364517,0.43955897390299203,0.5095716979956509,0.4383575992458364,0.7181751287711553,Deeper MLP / Adam 1e-3
3,0.5042366671466599,0.44078384296464257,0.5081800734672237,0.44068513427786,0.721959423946179,Deeper MLP / Adam 1e-3
4,0.5026500615745148,0.44161250111299083,0.5082270973841249,0.4275606304591812,0.691711342373594,Deeper MLP / Adam 1e-3
5,0.5015027020911179,0.4418617620486967,0.506743011609445,0.44247505837401824,0.7239041311888994,Deeper MLP / Adam 1e-3
6,0.5009392634455071,0.44294088092446826,0.505746858391641,0.43853751874644464,0.7146799116997793,Deeper MLP / Adam 1e-3
7,0.5002420551203208,0.44354100118390777,0.5063550581218291,0.4466219142485925,0.7313676022285294,Deeper MLP / Adam 1e-3
8,0.49983208887146446,0.4429608257568133,0.5061861131515311,0.44870386643233745,0.7362030905077263,Deeper MLP / Adam 1e-3
9,0.4997464051336653,0.4435338505805036,0.5053220645155576,0.4374169817104322,0.710606538421108,Deeper MLP / Adam 1e-3
10,0.49883459181958945,0.44369281082352413,0.5052977179761666,0.4457462245391519,0.7289761379165353,Deeper MLP / Adam 1e-3
11,0.4986294558919668,0.4446686848301379,0.50729834351093,0.4360175099256846,0.7088195101440135,Deeper MLP / Adam 1e-3
12,0.498067643169337,0.44399937341956275,0.506219073392284,0.4331019327773061,0.7016976768632398,Deeper MLP / Adam 1e-3
13,0.49794699008568893,0.4441361408847815,0.505379335744692,0.4419598122461895,0.7219331441185746,Deeper MLP / Adam 1e-3
14,0.49783144988266953,0.44433523945675485,0.5051518786464795,0.44552967693463563,0.7284768211920529,Deeper MLP / Adam 1e-3
15,0.49732547740777955,0.4442007251891311,0.504871176148293,0.4450661788442914,0.728949858088931,Deeper MLP / Adam 1e-3
16,0.49711377035337895,0.4452800538781008,0.505547964734559,0.4373718737187372,0.7115000525596552,Deeper MLP / Adam 1e-3
17,0.4969459732703842,0.4441636568974964,0.5050143618181678,0.43786312920972803,0.7126826448018501,Deeper MLP / Adam 1e-3
18,0.4965138046632572,0.44549497574691654,0.5054328783032371,0.442778132312274,0.7246399663618207,Deeper MLP / Adam 1e-3
