epoch,train_loss,train_f1,val_loss,val_f1,val_accuracy,experiment
19,0.49640315501503124,0.44519979358775885,0.5055972967979397,0.4336065161647142,0.7039577420372123,Deeper MLP / Adam 1e-3
20,0.49638469367058,0.4455528590760146,0.5050023907769507,0.43928719436386243,0.7155471460107222,Deeper MLP / Adam 1e-3
1,0.5499835587779848,0.4102089614305021,0.515016837562658,0.43584865778905096,0.7194365604961631,Deeper MLP / Adam 3e-4
2,0.5084030654842093,0.4393589599910344,0.5122976450968726,0.43387447006514324,0.7122358877325765,Deeper MLP / Adam 3e-4
3,0.5063854770498856,0.43959993749023285,0.5108317651044905,0.43753598157743234,0.7175706927362556,Deeper MLP / Adam 3e-4
4,0.5049960062182336,0.44164397017457696,0.5098912684395901,0.43481379027713746,0.710054662041417,Deeper MLP / Adam 3e-4
5,0.5039409696371077,0.44014249137259265,0.5092083667964448,0.4354015163236887,0.7123147272153895,Deeper MLP / Adam 3e-4
6,0.5034002080964532,0.4415020379073031,0.5087972872705598,0.44092402246476636,0.7226952591191002,Deeper MLP / Adam 3e-4
7,0.5025572710683411,0.44134134245689893,0.5089159202628315,0.44553004396678064,0.7315515610217597,Deeper MLP / Adam 3e-4
8,0.5022254654881804,0.44183967640288735,0.5075141204389678,0.43757147312610456,0.7156522653211395,Deeper MLP / Adam 3e-4
9,0.5019280765810308,0.4421800630153516,0.5071109652168353,0.4371142575592552,0.7147850310101965,Deeper MLP / Adam 3e-4
10,0.5011910635989899,0.44209022203864745,0.5070972627274161,0.4398126217169325,0.720303794807106,Deeper MLP / Adam 3e-4
11,0.5009050695360279,0.4429779428213503,0.5072200505074098,0.4363542473534728,0.713155681698728,Deeper MLP / Adam 3e-4
12,0.5005846691275522,0.44335900387852506,0.507777655048224,0.42865542924343397,0.6935772101335015,Deeper MLP / Adam 3e-4
13,0.5000161138446384,0.44301618528123043,0.5073972491013519,0.44643540016388966,0.7337065068853148,Deeper MLP / Adam 3e-4
14,0.500032541423938,0.4432122456265619,0.505913653891758,0.4386439267886855,0.7162829811836434,Deeper MLP / Adam 3e-4
15,0.4996301408511548,0.4432811331495351,0.505924048639805,0.44226567911760006,0.7249290444654684,Deeper MLP / Adam 3e-4
16,0.49928237149058824,0.443944179378626,0.5058025916354784,0.4364476386036961,0.7115000525596552,Deeper MLP / Adam 3e-4
17,0.4991011974021766,0.4437163114222451,0.5055204095881055,0.43916852418226116,0.7156785451487438,Deeper MLP / Adam 3e-4
18,0.49895869038038093,0.44414613956193927,0.5053093272980789,0.43968303617975185,0.7175444129086513,Deeper MLP / Adam 3e-4
19,0.4986339390396014,0.44370890548821396,0.5051536172218006,0.4385126713751558,0.7158625039419741,Deeper MLP / Adam 3e-4
20,0.4986487461939832,0.4447085201793722,0.5052838112031525,0.437944828302769,0.7156785451487438,Deeper MLP / Adam 3e-4
21,0.49840725334226516,0.44426288221336796,0.5053427363061058,0.44199012371900387,0.7238252917060864,Deeper MLP / Adam 3e-4
22,0.4980395521302156,0.4447033518551712,0.5049596218785615,0.4364609604199907,0.7122621675601808,Deeper MLP / Adam 3e-4
23,0.49813329523391764,0.4446209967996777,0.504825668236967,0.43990548700446314,0.7196730789446021,Deeper MLP / Adam 3e-4
24,0.4977762277662719,0.445302069893981,0.5048685783055707,0.4409921533519406,0.7210396299800274,Deeper MLP / Adam 3e-4
25,0.497512448138523,0.4453155625245002,0.5053943178198333,0.4454044713251971,0.7301061705035214,Deeper MLP / Adam 3e-4
