model,split,mae,mse,rmse,r2,raw_mae,raw_mse,raw_rmse,raw_r2,raw_metrics_valid,n_below,n_above,n_nonfinite,n_clipped,clip_rate,clip_lower_train_scale,clip_upper_train_scale,training_seconds,parameter_count,learned_representation,input_representation,interpretability
Linear Regression,test,345139.2404550887,11370184763959.006,3371970.457159879,-8.670640481538374,9.746434523663207e+34,5.699579155443242e+74,2.3873791394420877e+37,-4.847641621715378e+62,True,0,12,0,12,0.0002,0.6931471805599453,19.174452551034626,0.7793148999917321,,False,Scaled numeric + state/status one-hot,Linear/tree dễ giải thích hơn
Decision Tree Regressor,test,240670.83628992483,747200847020.3267,864407.8013416623,0.3644860739696081,240670.83628992483,747200847020.3267,864407.8013416623,0.3644860739696081,True,0,0,0,0,0.0,0.6931471805599453,19.174452551034626,3.7289848000218626,,False,Scaled numeric + state/status one-hot,Linear/tree dễ giải thích hơn
Random Forest Regressor,test,228399.6386751426,710681890906.7083,843019.5080226248,0.39554640435714294,228399.6386751426,710681890906.7083,843019.5080226248,0.39554640435714294,True,0,0,0,0,0.0,0.6931471805599453,19.174452551034626,441.4610234000138,,False,Scaled numeric + state/status one-hot,Linear/tree dễ giải thích hơn
Baseline MLP,test,265720.58288681414,1661940003424.4592,1289162.5201751946,-0.41352358019276814,270922.22722463653,5491487629013.701,2343392.3335655304,-3.670654318419003,True,0,1,0,1,1.6666666666666667e-05,0.6931471805599453,19.174452551034626,311.46772430001874,4033.0,True,Scaled numeric + state/status one-hot,Phân tán; cần probe
