dataset,architecture,mean_validation_f1,mean_validation_loss,mean_validation_rmse,mean_validation_mae
diabetes,improved,0.4537959149468091,0.533804694811503,,
diabetes,basic,0.4325740061370991,0.5395031571388245,,
house,improved,,,902700.8761985935,259800.27604166666
house,basic,,,905589.3032292699,263800.1145833333
comments,improved,0.8860726981214825,0.3333506981531779,,
comments,basic,0.8668585386085034,0.3244369526704152,,
