dataset,architecture,implementation,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_mae,val_rmse,val_r2
diabetes,improved,pytorch,1,0.539978218615336,0.5202941298484802,0.6957321559970566,0.2888574888978603,0.8096944549226707,0.4258083713548899,0.8173312620039679,,,
diabetes,improved,pytorch,2,0.5144112873259611,0.5232000946998596,0.7592504993167245,0.3307604596088062,0.7112410411165598,0.4515356522780339,0.8206284852900102,,,
diabetes,improved,pytorch,3,0.5122128801312721,0.5134368538856506,0.7261379165352675,0.3083776297072696,0.7768766503206337,0.4415027600621684,0.8221181607977401,,,
diabetes,improved,pytorch,4,0.5085767130161714,0.5197041630744934,0.7515505098286556,0.3261306532663316,0.7344398340248963,0.4516877392413873,0.8226195875962117,,,
diabetes,improved,pytorch,5,0.5083108048713857,0.5118285417556763,0.699095973930411,0.291790842590084,0.8125235760090532,0.4293830359812618,0.8233687417393984,,,
diabetes,improved,pytorch,6,0.5074523015677559,0.5204238295555115,0.655970776831704,0.2693514954101273,0.8577895133911732,0.4099698021363862,0.8234689314992758,,,
diabetes,improved,pytorch,7,0.5061032514349562,0.5120853781700134,0.7300273310207085,0.3119751872305015,0.7778196906827612,0.4453323254683872,0.8239758610462422,,,
diabetes,improved,tensorflow,1,0.5399026035540634,0.5206604599952698,0.6925785766845369,0.2867431315017338,0.8110147114296492,0.4236870627648044,0.8170623702419656,,,
diabetes,improved,tensorflow,2,0.5142790224727328,0.5229793190956116,0.7595132975927678,0.3314946151825584,0.7140701622029423,0.4527895712491778,0.820814930848506,,,
diabetes,improved,tensorflow,3,0.5119033641909507,0.5132087469100952,0.7235362136024388,0.3064540059347181,0.7791399471897397,0.4398892556703226,0.8223065356296486,,,
diabetes,improved,tensorflow,4,0.5084029710168902,0.5195581316947937,0.7504730368968779,0.325247978661332,0.7359486986043002,0.4511243424475403,0.822386758849462,,,
diabetes,improved,tensorflow,5,0.5081892252446224,0.5114173293113708,0.703616104278356,0.2946673996701484,0.8087514145605432,0.4319532587891608,0.8235000734275703,,,
house,improved,pytorch,1,0.6381542823655265,16.438207626342773,,,,,,36508394808.633026,8942602116177.764,-37898062988690.58
house,improved,pytorch,2,0.568447045482908,0.9752944111824036,,,,,,8836229.01345104,2095447936.851235,-2080859.4071304367
house,improved,pytorch,3,0.5589893136160714,177.27703857421875,,,,,,3675137.1460345387,834548436.4725515,-330058.5420385783
house,improved,pytorch,4,0.5583168780735561,57.37477111816406,,,,,,558079.5377198824,72032884.64182012,-2457.956302201982
house,improved,pytorch,5,0.5433353919778552,138.76806640625,,,,,,287336.0477968656,6373387.6007880345,-18.249961237794317
house,improved,pytorch,6,0.5087386011736733,1.5724676847457886,,,,,,258491.25401440132,1384523.432048224,0.09157345201123301
house,improved,pytorch,7,0.48413807550157817,946.00341796875,,,,,,259493.86506136577,1318816.2086932661,0.17575228974722512
house,improved,pytorch,8,0.48747303199768066,14.44277572631836,,,,,,inf,inf,-inf
house,improved,pytorch,9,0.5704068415982383,587.01806640625,,,,,,inf,inf,-inf
house,improved,pytorch,10,0.4609285236358643,235.8504180908203,,,,,,251286.77041095006,1240240.971374555,0.27104394885194716
house,improved,pytorch,11,0.4551603120803833,11.320662498474121,,,,,,inf,inf,-inf
house,improved,pytorch,12,0.45903943762779237,1.192333698272705,,,,,,327173.4092599491,16169984.623239815,-122.91058602111221
house,improved,pytorch,13,0.4659255374295371,1.211230754852295,,,,,,3.8984333235681494e+106,9.549172439004317e+108,-4.321362201682402e+205
house,improved,tensorflow,1,0.6412791579246521,73.5197525024414,,,,,,999882413.7091584,244832147142.0288,-28407046335.611687
house,improved,tensorflow,2,0.5757816654273442,56.7026481628418,,,,,,13975525.019857645,3357585453.249353,-5342484.428949739
house,improved,tensorflow,3,0.5627517583983285,5.703007698059082,,,,,,3.4018075087725745e+279,inf,-inf
house,improved,tensorflow,4,0.5547374849319457,567.9354858398438,,,,,,2305630270.9172554,564695132853.9966,-151118378921.76694
house,improved,tensorflow,5,0.565907554599217,408.1075134277344,,,,,,1250257.0643520674,240513436.9145027,-27412.714523289982
house,improved,tensorflow,6,0.5343861922809056,242.43606567382812,,,,,,262726.9032933483,1339490.3718792787,0.1497074191861485
house,improved,tensorflow,7,0.5222585749081203,1880.944580078125,,,,,,269303.6772652514,1950721.4763008081,-0.8033487690920562
house,improved,tensorflow,8,0.49968935290745325,1200.686767578125,,,,,,257528.15417046598,1321871.463113884,0.17192885558562343
house,improved,tensorflow,9,0.5126601492745536,119.45458221435547,,,,,,inf,inf,-inf
house,improved,tensorflow,10,0.4758068229675293,1465.2930908203125,,,,,,254833.80911205165,1320887.4843146508,0.17316120110445876
house,improved,tensorflow,11,0.511915937096732,283.0072937011719,,,,,,379170.0527016557,30879258.286390558,-450.87978904809097
house,improved,tensorflow,12,0.4796688488551549,138.17623901367188,,,,,,14166851.792347366,3406670222.0737534,-5499830.5212753955
house,improved,tensorflow,13,0.4678967822551727,14.662327766418457,,,,,,inf,inf,-inf
comments,improved,pytorch,1,0.21393157517552375,0.17568406462669373,0.93164,0.9364761558063341,0.9261,0.931259175834121,0.9807188214,,,
comments,improved,pytorch,2,0.1563293709051609,0.17035092413425446,0.93496,0.9320737473675845,0.9383,0.93517651045508,0.9819827527999998,,,
comments,improved,pytorch,3,0.1358718097141385,0.17063738405704498,0.93592,0.9292579171262013,0.94368,0.9364134317694689,0.9824070161999998,,,
comments,improved,pytorch,4,0.11988504186481237,0.17250032722949982,0.93565,0.9373556871800021,0.9337,0.9355242723310455,0.9819736362000001,,,
comments,improved,pytorch,5,0.10695032608240843,0.1824035495519638,0.93398,0.9278868906767629,0.9411,0.9344467392167766,0.9811659850000001,,,
comments,improved,pytorch,6,0.09605535167887806,0.1897152215242386,0.93364,0.9322395438778358,0.93526,0.9337473293264911,0.9808217629999999,,,
comments,improved,tensorflow,1,0.21265758600473403,0.17435112595558167,0.93346,0.9407589685186691,0.92518,0.9329044488363651,0.9810876131999999,,,
comments,improved,tensorflow,2,0.15574121160268783,0.16815274953842163,0.93598,0.9395668656234877,0.9319,0.935717728331593,0.9824268616,,,
comments,improved,tensorflow,3,0.13523943565070629,0.17072390019893646,0.9359,0.9275876952052107,0.94562,0.9365170542328566,0.9823881738000001,,,
comments,improved,tensorflow,4,0.11919008854150773,0.17295105755329132,0.93505,0.9318800007941708,0.93872,0.93528749489374,0.9819776436000001,,,
comments,improved,tensorflow,5,0.10642002504229546,0.17947188019752502,0.93497,0.9341624578284391,0.9359,0.9350304217078117,0.9814274465999999,,,
comments,improved,tensorflow,6,0.09539213586837053,0.18655280768871307,0.93304,0.9325728213529388,0.93358,0.9330761388850021,0.9805810026,,,
