dataset,architecture,implementation,epoch,train_loss,val_loss,val_mae,val_rmse,val_r2
house,basic,scratch,1,0.848244870185852,0.6673349738121033,442036.03125,15317308.958881257,-222.4242706298828
house,basic,scratch,2,0.6460562168121338,0.6011765599250793,272601.65625,992593.0160382956,0.06177318096160889
house,basic,scratch,3,0.6208071184158325,0.5948134660720825,283416.5625,1764925.0468119036,-1.9663195610046387
house,basic,scratch,4,0.6152172503471375,0.5887071490287781,269772.3125,959063.5389837318,0.1240885853767395
house,basic,scratch,5,0.6179849623203277,0.5860554575920105,266379.28125,918011.2883314671,0.19746965169906616
house,basic,scratch,6,0.6084411882400512,0.5839112401008606,265624.90625,913555.2168358517,0.20524179935455322
house,basic,scratch,7,0.6046869327545166,0.583200216293335,264113.90625,905522.337305933,0.21915698051452637
house,basic,scratch,8,0.6038230815887451,0.5803974270820618,265012.3125,911024.1178805312,0.20963960886001587
house,basic,scratch,9,0.6006342103004455,0.5833919048309326,271874.625,966759.4181966886,0.10997498035430908
house,basic,scratch,10,0.6019916970252991,0.5777333974838257,266858.84375,953810.240448277,0.13365799188613892
house,basic,pytorch,1,0.8482448606491089,0.6673349738121033,442036.03125,15317308.958881257,-222.4242706298828
house,basic,pytorch,2,0.6460562051773071,0.6011765599250793,272601.65625,992592.9830257718,0.06177330017089844
house,basic,pytorch,3,0.6208095264434814,0.5947709083557129,283401.40625,1765127.4813474522,-1.9670002460479736
house,basic,pytorch,4,0.6152215101242066,0.5886514782905579,269730.1875,962540.7998085069,0.11772555112838745
house,basic,pytorch,5,0.6180369581699371,0.5862264037132263,266212.59375,915901.7796073988,0.20115375518798828
house,basic,pytorch,6,0.6083264409065247,0.5836964249610901,265645.03125,911764.6562309816,0.20835423469543457
house,basic,pytorch,7,0.6048356861114502,0.5831868052482605,263975.4375,906250.1965528063,0.21790117025375366
house,basic,pytorch,8,0.6035753281593322,0.5802702307701111,264487.75,908951.0995515655,0.21323245763778687
house,basic,pytorch,9,0.6004561302185059,0.5839565396308899,273083.53125,987945.7923266843,0.0705379843711853
house,basic,pytorch,10,0.6032209846973419,0.5778530836105347,266363.8125,942110.6777613764,0.15478098392486572
house,basic,tensorflow,1,0.8330461478233337,0.6515960693359375,521917.09375,23749144.896311194,-536.107666015625
house,basic,tensorflow,2,0.6431086069107056,0.6029195189476013,272178.15625,968416.6339091868,0.10692095756530762
house,basic,tensorflow,3,0.6213885062217712,0.5960885286331177,276118.125,1224811.3932846966,-0.4285775423049927
house,basic,tensorflow,4,0.6144478245258331,0.5889110565185547,268001.3125,920961.4143144109,0.1923033595085144
house,basic,tensorflow,5,0.6106225859642029,0.5869988799095154,266359.90625,918998.1762071131,0.19574326276779175
house,basic,tensorflow,6,0.606605516910553,0.5839395523071289,265990.75,923699.0495870395,0.18749433755874634
house,basic,tensorflow,7,0.6036965794086456,0.583139181137085,263986.46875,914011.7825061119,0.20444726943969727
house,basic,tensorflow,8,0.6065521297454834,0.5792585611343384,263311.0,904995.3758290702,0.22006547451019287
house,basic,tensorflow,9,0.612306953239441,0.5824908018112183,271545.6875,981100.453295176,0.08337360620498657
house,basic,tensorflow,10,0.5988246222496033,0.5765829086303711,265465.59375,944514.3504510665,0.1504625678062439
house,basic,tensorflow,11,0.6003758550167084,0.575358510017395,266673.5,947756.0141048961,0.1446211338043213
house,improved,scratch,1,0.8326550616264343,0.6212477684020996,283615.03125,1312053.2219449026,-0.6393373012542725
house,improved,scratch,2,0.6264316122055054,0.5929589867591858,265068.375,916656.8946601559,0.19983601570129395
house,improved,scratch,3,0.608387192249298,0.5784657001495361,264889.84375,920652.7042571482,0.19284480810165405
house,improved,scratch,4,0.5962077263832092,0.5697781443595886,261321.1875,900359.0605352955,0.22803634405136108
house,improved,scratch,5,0.5974249294757843,0.57068932056427,261890.609375,927948.127653696,0.18000197410583496
house,improved,scratch,6,0.5827197947502136,0.556185781955719,264204.625,1224971.6898083808,-0.428951621055603
house,improved,scratch,7,0.5787494156360626,0.5530225038528442,254924.421875,902007.4175836915,0.22520709037780762
house,improved,pytorch,1,0.8326550388336181,0.6212477684020996,283615.03125,1312053.1220465123,-0.6393369436264038
house,improved,pytorch,2,0.6264316168785096,0.5929589867591858,265068.375,916656.8946601559,0.19983601570129395
house,improved,pytorch,3,0.6084118651390076,0.5780109763145447,264858.78125,920579.4883137469,0.19297313690185547
house,improved,pytorch,4,0.5965226920127868,0.5710991024971008,261521.65625,899229.1070022144,0.2299727201461792
house,improved,pytorch,5,0.5972143661499023,0.5696535706520081,260701.34375,921421.0315116538,0.19149696826934814
house,improved,pytorch,6,0.5824619625091553,0.5579599738121033,263857.625,1149780.16169353,-0.2589108943939209
house,improved,pytorch,7,0.5799205911159515,0.5547515749931335,255628.953125,904113.4643129699,0.22158485651016235
house,improved,tensorflow,1,0.8165162399291992,0.6133107542991638,284360.125,1395907.507950294,-0.855575680732727
house,improved,tensorflow,2,0.623660345172882,0.5913624167442322,266318.125,932567.4523164531,0.17181777954101562
house,improved,tensorflow,3,0.6099108623504639,0.5802172422409058,268435.53125,973152.778139178,0.09816420078277588
house,improved,tensorflow,4,0.5999450964927673,0.5763515830039978,264333.125,911606.2948093327,0.20862919092178345
house,improved,tensorflow,5,0.5929047717094421,0.5691215991973877,261833.171875,929558.6667575103,0.1771531105041504
house,improved,tensorflow,6,0.5883510141372681,0.5668438673019409,260040.65625,908931.3437482503,0.21326667070388794
house,improved,tensorflow,7,0.5918513953208924,0.5596826076507568,256557.984375,908514.4610582707,0.21398818492889404
house,improved,tensorflow,8,0.5811105186462402,0.55118727684021,264038.75,1146578.1317014555,-0.2519087791442871
house,improved,tensorflow,9,0.5726989097595215,0.5475057363510132,261658.75,1192349.783847005,-0.3538569211959839
house,improved,tensorflow,10,0.5823985597610474,0.5530682802200317,327218.375,7102743.025661002,-47.0416145324707
